question,answer
What is Dermatosparaxis Ehlers-Danlos syndrome.,"Dermatosparaxis Ehlers-Danlos syndrome

A form of Ehlers-Danlos syndrome (EDS) characterized by extreme skin fragility and laxity, a prominent facial gestalt, excessive bruising and, sometimes, major complications due to visceral and vascular fragility.

UMLS: C2700425

Age of onset: Infancy, Neonatal"
What is Danon disease.,"Danon disease

A rare X-linked genetic condition due to deficiency of the lysosomal-associated membrane protein 2 (LAMP2) characterized by severe cardiomyopathy and variable degrees of muscle weakness, frequently associated with intellectual deficits (in males).

UMLS: C0878677

Age of onset: Childhood

Antenatal diagnosis of at-risk pregnancies can be done if a known LAMP2 pathogenic variant has been detected in a parent (typically detected in the mother as males with this disease have reduce reproductive fitness).

The disease classically manifests in males at a median age of 13-14 years. The clinical picture may be severe in both sexes, but onset generally occurs later in females and disease progression tends to be slower in females.

The main diagnostic method is molecular genetic testing for identification of loss-of-function variants in LAMP2. Histological and/or electron microscopy findings of cytoplasmic vacuoles and increased cellular glycogen levels can be suggestive of the diagnosis. Exclusion of Pompe disease should be done if LAMP2 molecular testing is non-conclusive. Staining of LAMP-2 protein revealing reduced or absence in males heart, muscle, lymphocytes, may also be performed for diagnosis, but is not widely available clinically. Identification of a LAMP2 pathogenic variant in a proband allows cascade testing of other at-risk relatives.

The differential diagnosis should include X-linked myopathy with excessive autophagia (XMEA) and glycogen storage disease type 2.

More than 100 families have been described in the literature so far.

The disease is caused by mutations in the LAMP2 gene, localised to Xq24. The LAMP2 protein is an essential component of the lysosomal membrane and appears to play a role in autophagosome-lysosome fusion and the cellular process of autophagy. Originally the condition was classified as a 'glycogen storage disease' reflecting elevated glycogen visible on histological analysis; however, as the condition is not due to a specific defect in glycogen storage, the name Danon disease is currently preferred.

Genetic counseling is recommended for the X-linked inheritance pattern seen in the disease.

There is no specific treatment for this disease. Symptomatic treatment is required for the cardiac manifestations and patients may require a heart transplant.

Patients are at risk of sudden death due to arrhythmia and/or heart failure during early adulthood. Death or transplant occurs at median ages in males and females of 19-21 years and 34-38 years, respectively."
What is Familial idiopathic dilatation of the right atrium.,"Familial idiopathic dilatation of the right atrium

A rare congenital heart malformation of unknown etiology that is characterized by an extremely dilated right atrium, and that is usually asymptomatic and fortuitously discovered by echocardiography or chest radiography, and can be sometimes associated with other anomalies such as atrial arrhythmias (e.g. atrial flutter, atrial fibrillation, supraventricular tachycardia), severe tricuspid regurgitation, or atrial thrombus that could lead to potentially life-threatening thromboembolic complications.

UMLS: C4274283

Age of onset: All ages"
What is Follicular dendritic cell sarcoma.,"Follicular dendritic cell sarcoma

A rare dendritic cell neoplasm characterized by a proliferation of spindled to ovoid cells with morphological and immunophenotypic features of follicular dendritic cells. Conventional follicular dendritic cell sarcomas are negative for EBV. The tumor arises as a painless, slow-growing mass in lymph nodes (most often cervical), extranodal sites (such as tonsils, gastrointestinal tract, soft tissue, mediastinum, or lung, among others), or both. Paraneoplastic pemphigus may occur in rare cases. Predictive factors are tumor size, presence of coagulative necrosis, mitotic count, and presence of significant cytological atypia.

UMLS: C1260325

Age of onset: All ages"
What is Distal duplication 10q syndrome.,"Distal duplication 10q syndrome

Distal trisomy of the long arm of chromosome 10 (10q) is characterized by pre- and postnatal growth retardation, a pattern of specific facial features, hypotonia, and developmental and psychomotor delay.

UMLS: C2931728

Age of onset: Infancy, Neonatal

Prenatal diagnosis is possible using cytogenetic tools.

Most cases are diagnosed in infancy or in childhood. The range and severity of symptoms and physical findings may vary from case to case, depending upon the exact length and location of the duplicated portion of chromosome 10q. Characteristic craniofacial findings include a flat round face with full cheeks and a large prominent forehead, highly arched eyebrows, short and narrow palpebral fissures (blepharophimosis), widely spaced eyes with telecanthus, a short nose, a bow-shaped mouth with a prominent upper lip, and a small mandible. A few major malformations have also been reported, including renal and cardiac anomalies. Minor defects of the hands and/or feet, bone anomalies and cryptorchidism are frequent signs.

Diagnosis is suspected on the basis of the clinical features and is confirmed by karyotyping and fluorescence in situ hybridization (FISH) with specific 10q probes.

To date, approximately 40 cases of trisomy 10q have been reported.

The duplicated region almost always includes 10qter, with the most frequent proximal breakpoint at 10q24 (with variation from q22 to q25). Interstitial duplications of 10q have also been reported. Most cases of distal trisomy 10q result from of a parental balanced translocation or pericentric inversion, and may be accompanied by another chromosomal imbalance. Intrachromosomal duplications or de novo translocations are also observed.

The risk of recurrence for siblings depends on the parental karyotypes.

Management is multidisciplinary and symptomatic only. Early educational (speech, occupational and physical therapy) and rehabilitation programs should be offered to all patients.

Prognosis is variable. A number of reported patients died in infancy from respiratory problems."
What is Darier disease.,"Darier disease

A rare, genetic keratinization disorder which is classically characterized by keratotic papules, acral pits, and acral wart-like lesions that can be associated with a trigger, and may occur anywhere on the body (including mucosal surfaces). Extracutaneous manifestations may include, nail anomalies, blepharitis, dry eye, neuropsychiatric illness and, recurrent parotid gland obstruction and xerostomia.

UMLS: C0022595

Age of onset: Adolescent, Adult, Childhood

The prenatal diagnostic tests and procedures are available for affected couples where the genetic variant has been identified.

Darier disease is a debilitating and chronic condition, with both cutaneous and extra-cutaneous manifestations, which can have a severe impact on patients' general health and quality of life. The cutaneous and extra-cutaneous manifestations have variable expression within and between families. Exacerbations may be triggered by summer, sweating, exposure to sunlight, mental distress, contact with wool and febrile illness. Classical lesions are characterized by keratotic papules (typically occurring on the trunk), acral pits (occurring on palms and soles) and acral wart-like lesions (typically occurring on the hands, particularly after soaking in water). Non-classical lesions may include acral keratoderma, leukodermic macules, giant comedones, vegetations and acral hemorrhagic blisters, and may co-exist with classical lesions. However, non-classical lesions are rare. Lesions can occur anywhere on the body with no specific location. Nail abnormalities include V-shaped notches at the free edge of nail, longitudinal red and white lines, ridging and splitting. Genital involvement, especially on female genitalia, is more frequent in patients with severe disease. Oral mucosal lesions may be found. Extra-cutaneous manifestations vary within and between families and may include, blepharitis, dry eye, neuropsychiatric illness, epilepsy (often only before age 20), learning disabilities, recurrent parotid gland obstruction and xerostomia. Staph aureus colonization in skin & nares is frequent and corresponds with extent of skin area affected and disease severity.

The diagnosis is based on histological examination of skin lesion biopsies revealing hyperkeratosis, focal dyskeratosis and suprabasal acantholysis.

Differential diagnoses include Hailey-Hailey disease, Grover disease (transient acantholytic dermatosis), seborrheic dermatitis, pemphigus, and warty dyskeratoma.

The prevalence of Darier disease (DD) is estimated at around 1/30,000 in Europe.

DD is caused by mutations in the ATP2A2 gene (12q23-q24.1) encoding the sarco/endoplasmic reticulum Ca2+ ATPase isoform 2 (SERCA2), which has a central role in intracellular calcium signaling.

The disorder is autosomal-dominant with complete and delayed penetrance, and variable expression. Genetic counselling is advised for affected patients to discuss identification of the mutation, the pattern of inheritance as well as the prenatal diagnostic tests and procedures available.

Management and treatment are based on case reports and case series reported in the literature as well as clinical experience. The full extent of the disease should be assessed by a dermatologist and includes assessment of the skin involvement (including staph aureus colonization), the extracutaneous involvement (neuropsychiatric illness etc.), family history and triggering factors. Current treatment is symptomatic and includes topical and systemic therapy as well as minimizing exposure to triggers. For patients prone to secondary skin infections, a diluted bleach bath may be considered. Other therapies reported include injection of botulinum toxin to decrease sweating, surgical excision, electrosurgical excision, dermabrasion, laser ablation, photodynamic therapy and electron beam radiation. Extracutaneous manifestations should be treated according to standard protocols.

The disease is characterized by a chronic cycle with acute exacerbations and does not improve with age. In assessing the prognosis, it is very important to consider the extracutaneous manifestations of the disease. Secondary bacterial and viral infections were reported as causes of morbidity and mortality in a few cases."
What is Ataxia-deafness-intellectual disability syndrome.,"Ataxia-deafness-intellectual disability syndrome

A rare genetic syndromic intellectual disability characterized by global developmental delay, intellectual disability, infantile or childhood onset of progressive ataxia, and bilateral sensorineural hearing impairment. Variable features include signs of upper and lower motor neuron disease, peripheral neuropathy, myopathic facies, lower limb muscle wasting, and heel contractures. There have been no further descriptions in the literature since 1993.

UMLS: C4304023

Age of onset: Childhood, Infancy"
What is Acute peripheral arterial occlusion.,"Acute peripheral arterial occlusion

A rare vascular condition characterized by the sudden blockage of an artery supplying blood to the limbs by a blood clot, causing acute limb ischemia. The clinical presentation is variable and depends on the time course of vessel occlusion, the presence of an underlying vascular disease, and the recruitment of collateral circulation. Symptoms can develop over a period of hours to days and typically include limb pain, pallor, absent pulse, poikilothermia, paresthesia, and limb paralysis. The condition can quickly progress to infarction and loss of the limb.

UMLS: C5681343

Age of onset: All ages"
"What is Campomelia, Cumming type.","Campomelia, Cumming type

Campomelia, Cumming type, is characterized by the association of limb defects and multivisceral anomalies.

UMLS: C1859371

Age of onset: Antenatal, Neonatal

Skeletal features include tetramelic campomelia and short long bones. Extraskeletal manifestations may include cervical lymphocele, generalized hydrops, polycystic kidneys, pancreas and liver, fibrotic liver or pancreas, polysplenia, heterotaxia, lung hypoplastia, short bowel. All newborns reported so far were either stillborn or died shortly after birth.

The syndrome has been reported in eight infants from four different families.

In one of the affected families, three sibs with identical features born to first-cousin parents have been reported, suggestive of autosomal recessive mode of inheritance."
What is Rare cutaneous lupus erythematosus.,"Rare cutaneous lupus erythematosus

Rare cutaneous lupus erythematosus (CLE) is an autoimmune disease that denotes a heterogeneous spectrum of clinical manifestations affecting the skin and can be divided into 4 categories: acute CLE (ACLE); subacute CLE (SCLE); chronic CLE (CCLE; the most diverse form); and intermittent CLE (ICLE). CLE can either occur alone or associated with systemic lupus erythematosus (SLE).

UMLS: C5680424

Age of onset: All ages

CLE usually appears between 20-70 years but it has also been described in children (0-18 years). There are 4 main types of CLE: ACLE which presents as prominent non scarring-rash on cheeks and nose (''butterfly rash'', localized form) or more rarely, by a widespread eruption of red, symmetric, maculopapular lesions with accentuation of the UV-exposed areas (''maculopapular lupus rash'', generalized form); SCLE which presents with red, raised, scaly rash on sun-exposed areas of the body (annular/polycyclic form or papulosquamous form); CCLE which presents either as red to purple, well demarcated, scaly rash on the scalp, face, ears, and other sun-exposed areas (discoid LE; DLE), as frostbites (Chilblain LE; ChLE), or as painful subcutaneous nodules (LE profundus; LEP); and ICLE or LE tumidus (LET) presenting as red, swollen, urticaria-like plaques. Cutaneous manifestations appear in 72-85% of SLE patients.

Diagnosis is based on family history, clinical and laboratory findings (detection of antibodies anti-nuclear antigens (ANA)), histological examinations of skin biopsy which show superficial and deep perivascular and periadnexal lymphocytic infiltrate, interface-dermatitis and thickening of the basement membrane as a late consequence. The epidermis is atrophic with necrotic keratinocytes. Diagnosis is confirmed by direct immunofluorescence (detects deposits of immunoglobulins and complement component C3 and IgG at the dermo epidermal junction) and photoprovocation.

Differential diagnosis depends on subtypes and includes: ACLE: dermatomyositis, erythema multiforme, drug-induced photosensitivity, dermatitis (atopic, contact), exanthema (viral, drug-induced), rosacea, seborrheic dermatitis. SCLE: classic mycosis fungoides, pityriasis rubra pilaris, vitiligo, tinea corporis, erythema anulare centrifugum, granuloma annulare, erythema gyratum repens, psoriasis. DLE: sarcoidosis, tuberculosis, leprosy, classic mycosis fungoides, cutaneous pseudolymphoma, granuloma faciale, nummular eczema, psoriasis, squamous and basal cell carcinoma, rosacea, lichen planus. ChLE: frostbites. LEP: subcutaneous panniculitis-like T-cell lymphoma, erythema nodosum. LET: Jessner lymphocytic infiltration of the skin, polymorphous light eruption, reticular erythematosus mucinosis.

Incidence is estimated to be 1/25,000 in USA, and it affects predominantly women. CLE occurs more in patients with a family history of lupus or other autoimmune diseases.

Etiology is still elusive but it is thought to be multifactorial, involving a genetic predisposition. The disease is then triggered by UV radiation, infections (cytomegalovirus, hepatitis C, Epstein-Barr virus), hormones (estrogens, prolactin), and exposure to drugs and chemicals, which initiate an inflammatory process. Cytokines and chemokines are involved in propagating inflammatory responses, suppressing tolerogenic components of the immune system. Autoreactive B cells are intrinsic to lupus pathogenesis.

Treatment goals are to improve skin appearance, limit scarring, and prevent new skin lesions. This includes use of UV light protection; topical therapy (corticosteroids and/or calcineurin inhibitors); and antimalarial therapy that may improve CLE and delay progression to SLE. For patients refractory to antimalarials, immunosupressive and immunomodulatory therapy (systemic corticosteroids, methotrexate, oral retinoids) may be proposed.

CLE is a chronic skin disease, with significant impact on the patients' quotidian. Risk of SCLE and CCLE patients developing SLE is <10%. ACLE is associated with SLE."
What is Primary progressive freezing gait.,"Primary progressive freezing gait

Primary progressive freezing gait is a rare, heterogeneous, progressively incapacitating neurodegenerative disease characterized by freezing of gait (usually during the first 3 years), later associating postural instability, eventually resulting in a wheelchair-bound state. Other features may include mild bradykinesia, rigidity, postural tremor, hyperreflexia, speech disorder and dementia. The disease is unresponsive to dopaminergic treatments.

UMLS: C4275078

Age of onset: Adult"
What is Glycogen storage disease due to muscle phosphofructokinase deficiency.,"Glycogen storage disease due to muscle phosphofructokinase deficiency

A rare form of glycogen storage disease (GSD) characterized classically by exertional fatigue and muscular exercise intolerance. It occurs typically in childhood and adolescence.

UMLS: C0017926

Age of onset: Adolescent, Adult, Childhood, Infancy

Antenatal and preimplantation genetic testing are usually not offered to at-risk couples.

Clinical signs are muscular exercise intolerance (often with rhabdomyolysis) with muscle cramps and pain during exercise. The patients do not show a second wind phenomenon, and symptoms may worsen after glucose intake. Compensated hemolysis (increased bilirubin and reticulocytes) and hyperuricemia are frequently associated.

Non-invasive diagnostic confirmation is made by molecular analysis of PFKM gene. When performed, muscle biopsy typically shows vacuolar myopathy, increased glycogen content and PFK enzyme deficiency. Polyglucosan bodies may be observed in some cases.

Differential diagnoses include the other forms of muscular glycogen storage disease (GSD type 5 and other glycolysis enzyme deficiencies).

More than 100 cases have been reported worldwide.

The condition is caused by mutations in the PFKM gene (12q13) encoding the muscular isoenzyme of PFK, a key enzyme in the regulation of anaerobic glycolysis which has 3 isoenzymes (for the muscle, liver, and platelets).

Transmission is autosomal recessive. Genetic counseling should be offered to at-risk couples (both individuals are carriers of a disease-causing mutation) informing them that there is a 25% risk of having an affected child at each pregnancy and to at-risk relatives for carrier testing.

Rhabdomyolysis episodes may be prevented by avoiding strenuous exercise. It should be noted that carbohydrates induce lower muscular performance (due to the decreased amounts of free fatty acids and ketone bodies).

Myoglobinuria may lead to renal failure."
What is Cataract-nephropathy-encephalopathy syndrome.,"Cataract-nephropathy-encephalopathy syndrome

A rare lethal combination of manifestations including short stature, congenital cataracts, encephalopathy with epileptic fits, and postmortem confirmation of nephropathy (renal tubular necrosis). There have been no further descriptions in the literature since 1963.

UMLS: C0795914

Age of onset: Neonatal"
What is Coffin-Siris syndrome.,"Coffin-Siris syndrome

A rare genetic syndromic intellectual disability of broad phenotypic range characterized by developmental delay and variable clinical features which most commonly, but not consistently, include aplasia or hypoplasia of the distal phalanx or nail of the fifth digit, and coarse facial features.

UMLS: C0265338

Age of onset: Antenatal, Neonatal

As most mutations are de novo, prenatal diagnosis may be difficult to apply.

Coffin-Siris syndrome is a clinically and genetically heterogeneous disorder. It involves a wide range of major and minor clinical findings. Characteristic major features include mild to severe developmental or cognitive delay (in all patients), fifth finger nail/distal phalanx hypoplasia or aplasia (almost all patients at birth), and coarse facial features (commonly observed over time). Distinctive facial features include thick eyebrows and long eyelashes, broad nasal bridge, wide mouth with thick, everted upper and lower lips, and abnormal ear position or shape. Other major findings include short stature, failure to thrive, feeding difficulties, microcephaly, ophthalmological manifestations (cataracts, ptosis, strabismus), cardiac anomalies (ventricular septal/atrial septal defects, tetralogy of Fallot, patent ductus arteriosus), hypertrichosis (arms, face, back) and sparse scalp hair. Minor findings include neurologic involvement (Dandy-Walker malformation, gyral simplification, agenesis of the corpus callosum, seizures, and hypotonia), hearing loss, joint laxity, genito-urinary and renal malformations and frequent infections. Developmental delay and scoliosis appear in infancy and childhood.

To date there have been no consistent clinical criteria to assist in the diagnosis. The diagnosis is generally based on the presence of major and at least one minor clinical sign and can be confirmed by molecular genetic testing of the causative genes. Recent studies revealed that fifth finger nail/distal phalanx hypoplasia or aplasia is not a mandatory finding. Microdeletions including ARID1B have been reported.

Differential diagnoses include Nicolaides-Baraitser syndrome, brachymorphism-onychodysplasia-dysphalangism, DOOR syndrome, hyperphosphatasia-intellectual deficiency syndrome, Borjeson-Forssman-Lehmann syndrome, Wiedemann-Steiner syndrome, Rubinstein-Taybi syndrome and Cornelia de Lange syndrome. Fetal hydantoin syndrome may mimick Coffin-Siris syndrome.

More than 150 cases of genetically confirmed Coffin-Siris syndrome (CSS) have been clinically reported to date. Exact prevalence and incidence are not known but the disorder is probably under-recognized.

Heterozygous mutation or genomic rearrangement in the following nine genes have been reported to be causative for CSS (highest to lowest proportion of reported cases): ARID1B (6q25.3), SMARCA4 (19p13.3), SMARCC2 (12q13.2), ARID1A (1p36.11), SOX11 (2p25.2), DPF2 (11q13.1), SMARCB1 (22q11.23),SMARCE1 (17q21.2) , and ARID2 (12q12). These genes encode subunits of the BAF complex, which is involved in regulation of gene expression during development.

Autosomal dominant transmission has been reported regarding ARID1B-related disorder, but most cases are related to de novo mutations. Genetic counseling should be proposed to individuals having the disease-causing mutation informing them that there is 50% risk of passing the mutation to offspring.

Treatment is essentially supportive and symptomatic. Occupational, physical and speech therapy are recommended. Development and feeding should be monitored closely and patients should undergo regular ophthalmological and audiological testing.

The prognosis is poor in severely affected individuals, with aspiration pneumonia and seizures reported in childhood. Association of tumor development including schwannomatosis has been reported."
What is Holt-Oram syndrome.,"Holt-Oram syndrome

A genetic syndrome with limb reduction defects characterized by skeletal abnormalities of the upper limbs and mild-to-severe congenital cardiac defects.

UMLS: C0265264

Age of onset: Antenatal, Neonatal

Prenatal testing is based on DNA analysis of amniocentesis and chorionic villus sampling and may be useful to confirm ultrasound and echocardiography findings in families with a known HOS mutation. In women with HOS, cardiac defects should be evaluated by a cardiologist to determine what monitoring and care may be needed during pregnancy.

The clinical picture of HOS covers a wide spectrum of upper extremity defects, always including the radial ray, and cardiac defects. Radial ray upper limb anomalies include carpal bone malformation(s) as well as triphalangeal or absent thumb(s), phocomelia, hypoplasia or aplasia involving the radius often resulting in unequal arm lengths, transverse upper limb defects including abnormal forearm pronation and supination. Patients may have more severe left than right upper-limb abnormalities. Most frequent congenital cardiac malformations observed are atrial septal defect, ostium secundum type (ASD) and ventricular septal defect (VSD). Conduction abnormalities like paroxysmal atrial fibrillation, sometimes associated with various degrees of atrioventricular block, have been reported. Other variable anomalies reported include craniofacial, axillary, tracheal, vertebral and lower-limb anomalies, as well as deafness, abdominal situs inversus and renal abnormalities, but in many cases these findings reflect phenocopy syndromes rather than HOS itself.

Diagnosis of HOS is based on clinical findings and family history. It can be confirmed by molecular genetic analyses.

Differential diagnosis includes heart-hand syndrome type 2, heart-hand syndrome type 3, brachydactyly-long thumb, SAL4-related disorders (Okihiro and acro-renal-ocular syndrome), ulnar-mammary syndrome, Slovenian type heart-hand syndrome, Fanconi anemia, distal 22q11.2 microdeletion syndrome, VACTERL association, thalidomide embryopathy, fetal valproate syndrome.

Holt-Oram syndrome (HOS) prevalence is estimated at 1/ 100,000 live births (in Hungary), but various cases have been published worldwide.

HOS is caused by a mutation in the TBX5 gene located on the long arm of chromosome 12 (12q24.1). The TBX5 gene encodes T-box5, a transcription factor regulating the expression of other genes in developing heart and limbs. More than 85% of the clinically diagnosed HOS individuals carry a TBX5 mutation.

The majority of the HOS mutations occur de novo. HOS is inherited in an autosomal dominant manner with complete penetrance for upper-limb malformations, and 75% penetrance for congenital heart malformations and with variable expressivity leading to a wide spectrum of phenotypes. Genetic counseling should be offered to parents with a TBX5 mutation informing them of their 50% risk of transmitting it on to their children. Molecular genetic testing is not sufficient to precisely predict the severity of upper-limb and congenital heart anomalies.

Management is multidisciplinary and includes geneticists, cardiologists, orthopedic surgeons and pediatric orthopedics as well as social support networks. Patients with advanced heart block may require a permanent pacemaker. An echocardiogram is recommended every one to five years if cardiac defects are present. Electrocardiograms (EKGs) are recommended annually for adults.

Prognosis is variable. Functional impact in everyday life is based on the type and severity of upper-limb anomalies. Life expectancy depends on the severity of cardiac anomalies."
What is Acrodysostosis.,"Acrodysostosis

An acromelic dysplasia that is characterized by severe brachydactyly, peripheral dysostosis with facial dysostosis, nasal hypoplasia, and developmental delay.

UMLS: C0220659

Age of onset: Antenatal, Neonatal

In families with a known disease causing mutation, prenatal diagnosis is possible.

Typical clinical features include severe peripheral dysostosis (short stature and brachydactyly affecting metacarpals, metatarsals and phalanges), facial dysostosis (broad face, widely spaced eyes and maxillonasal hypoplasia), and developmental delay. Advanced skeletal maturation, decreased vertebral interpedicular distance, and obesity are also frequently observed. Several features of acrodysostosis are similar to those present in patients with Albright's hereditary osteodystrophy (AHO) such as short stature, obesity and brachydactyly (in AHO, only 4th and 5th metacarpals and metatarsals). Prenatal onset, and multiple hormonal resistance, most frequently to parathyroid hormone (PTH) and thyroid stimulating hormone (TSH), are reported in approximately half of ACRDYS patients. While patients with PRKAR1A mutations (referred to as ACRDYS type 1) constantly present with significant hormonal resistance, hormonal resistance in patients with PDE4D mutations (referred to as ACRDYS type 2) is rare, and when present, is relatively mild. Various degrees of intellectual disability and/or behavioral disorders have also been reported in ACRDYS patients.

Diagnosis is based on the clinical, biochemical and radiological (i.e. cone-shaped epiphyses) characteristics. It is confirmed by the genetic screening of PRKAR1A or PDE4D genes. Basal urinary cAMP levels normalized by creatininuria, a reflection of PTH biological activity in the renal proximal tubule, have been found significantly increased in patients with PRKAR1A mutations, but not in patients with PDE4D mutations.

Differential diagnosis includes brachydactyly type E, pseudohypoparathyroidism 1a or pseudopseudohypoparathyroidism.

Less than 80 cases of Acrodysostosis (ACRDYS) have been reported in the literature to date.

Acrodysostosis is caused by heterozygous mutations in either the PRKAR1A (17q24.2) or PDE4D (5q11.2-q12.1) genes. PRKAR1A mutations are gain-of-function leading to a constitutive loss of function in protein kinase A (by reducing the affinity of the protein subunits for cAMP, thereby hampering the dissociation from the catalytic subunit). A functional defect of PDE4D has not been characterized, but is expected to also be gain-of-function, leading to a constitutive loss of function in protein kinase A, at least in skeletal tissues.

Most cases occur sporadically but autosomal dominant inheritance has been reported in some families, and in these cases genetic counseling is possible.

There is no specific treatment for acrodysostosis. Patients should be screened for hormonal resistances, in particular to PTH and TSH, and treated appropriately following the same criteria, doses, and follow-up as in any other form of hypoparathyroidism and hypothyroidism, and eventually treated for any associated endocrinopathy. Dietary and lifestyle measures to prevent obesity and supportive care for cognitive functions are recommended. Attention must be given in children to height, growth velocity, and pubertal development.

Prognosis is unknown due to a lack of long-term patient data. Functional consequences, however, can decrease a patient's quality of life."
What is Inflammatory pseudotumor of the liver.,"Inflammatory pseudotumor of the liver

A rare benign liver tumor characterized by a prominent inflammatory infiltrate and often mimicking a malignant liver neoplasm. The tumor is frequently solitary with a predilection for the right lobe; however, multiple lesions are possible. There are two clinicopathological subtypes: fibrohistiocytic inflammatory pseudotumor of the liver and lymphoplasmacytic inflammatory pseudotumor of the liver. Patients present with non-specific clinical symptoms such as abdominal pain or discomfort, fever, and weight loss. The condition may be associated with other chronic inflammatory or autoimmune diseases.

UMLS: C1333967

Age of onset: All ages"
What is Tibial muscular dystrophy.,"Tibial muscular dystrophy

Tibial muscular dystrophy (TMD) is a distal myopathy characterized by weakness of the muscles of the anterior compartment of lower limbs, appearing in the fourth to seventh decade of life.

UMLS: C1450052

Age of onset: Adult

TMD manifests after the age of 35 to 40 (rarely after the age of 60) as slowly progressive weakness and atrophy of the anterior tibial muscles with decreased dorsiflexion. Muscle involvement may remain asymmetrical for many years. After about 10 to 20 years, long toe extensors become involved causing foot drop, tripping and clumsiness while walking. Proximal limb muscles, mainly hamstring muscles, may be involved after the age of 60 to 70 and may necessitate the use of a cane and reduced walking distances. Extensor digitorum brevis muscles are spared and involvement of upper limbs is very rare. Neither cardiomyopathy nor respiratory failure has been encountered. TMD may present in a mild form (may remain unnoticed even in elderly individuals) or as aberrant phenotypic forms in about 9% of cases (proximal leg or posterior lower leg muscle involvement even at onset).

TMD is highly prevalent in Finland (1/5,000) due to a founder mutation, making it the most common muscle disease in Finland. The disease has also rarely been identified in families in several other European countries.

TMD is linked to mutations in the TTN gene (2q31) encoding the protein Titin. The Finnish founder mutation (FINmaj) is located in the last exon 363(Mex6). Atypical presentations in Finnish patients have recently been explained by modifying second mutations in TTN. Seven other mutations of the TTN gene causing TMD have been identified in non-Finnish populations of which some C-terminal titin mutations can be recessive, manifesting the disease in homozygosity or in compound heterozygosity (usually with recessive truncating titin mutations). FINmaj mutation in homozygosity or in combination with truncating recessive titin mutations causes early onset autosomal recessive limb girdle muscular dystrophy (LGMD2J).

Mode of inheritance of typical TMD is autosomal dominant, with a 50% risk of transmission to offspring, while some forms of TMD may be autosomal recessive."
What is Naxos disease.,"Naxos disease

A rare arrhythmogenic right ventricular cardiomyopathy (ARVC) and a cutaneous phenotype, characterized by peculiar woolly hair and palmoplantar keratoderma.

UMLS: C1832600

Age of onset: Infancy, Neonatal

Antenatal diagnosis is possible where the pathogenic variant has previously been identified in a family member.

Woolly hair appears from birth, palmoplantar keratoderma develop during the first year of life and cardiomyopathy is clinically manifested by adolescence with 100% penetrance. Patients present with syncope, sustained ventricular tachycardia or sudden death. Symptoms of right heart failure appear during the end stages of the disease.

Diagnosis is suspected on clinical presentation based on palmoplantar keratoderma with hair shaft abnormalities, mostly of woolly hair type present from infancy, fulfilling the diagnostic criteria of ARVC later in adolescence or early adulthood. It is confirmed by the presence of a JUP variant in homozygosity on genetic testing.

Naxos disease should be differentiated from carvajal syndrome that is caused by homozygous variants in desmoplakin (DSP), clinically manifested during childhood and leading more frequently to heart failure. It presents with similar cutaneous features as those of Naxos disease, in infancy, but the cardiac phenotype is compatible with arrhythmogenic cardiomyopathy with left ventricular predominance.

Naxos disease was first described in families originating from the Greek island of Naxos. Moreover, affected families have been identified in other Aegean islands, Turkey, Israel, Saudi Arabia, India, Argentina and French-Canadian families. A syndrome with the same cutaneous phenotype and predominantly left ventricular involvement has been described in families from India and Ecuador (carvajal syndrome).

Mutations in the JUP gene encoding the desmosomal proteins plakoglobin and desmoplakin have been identified as the cause of Naxos disease. Defects in the linking sites of these proteins can interrupt the contiguous chain of cell adhesion, particularly under conditions of increased mechanical stress or stretch, leading to cell death, progressive loss of myocardium and fibro-fatty replacement.

Naxos disease transmission is autosomal recessive. If both individuals are carriers of the disease-causing variant, there is a 25% risk of having an affected child at each pregnancy. Therefore it is recommended that genetic counseling be offered to at-risk couples.

Implantation of an automatic cardioverter defibrillator is indicated for prevention of sudden cardiac death. Antiarrhythmic drugs are used for preventing recurrences of episodes of sustained ventricular tachycardia and classical pharmacological treatment for congestive heart failure, while heart transplantation is considered at the end stages.

Prognosis in Naxos disease tracks that of other genetic cases of ARVC (Arrhythmogenic Right Ventricular Cardiomyopathy). Patients are at risk of developing life-threatening arrhythmias and heart failure."
What is Acute panmyelosis with myelofibrosis.,"Acute panmyelosis with myelofibrosis

A rare unclassified acute myeloid leukemia characterized by an acute panmyeloid proliferation with blasts constituting more than 20% of cells in the bone marrow or peripheral blood, accompanied by fibrosis of the bone marrow. Patients typically present with acute onset of severe constitutional symptoms, bone pain, and pancytopenia. Splenomegaly is minimal or absent. The disease is rapidly progressive with poor therapy response.

UMLS: C0334674

Age of onset: Adult"
